,own_llm_prompt
123,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **EVT** из приведенного текста.
    События, исторические моменты. Примеры: 'Brexit', 'брекзит'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа EVT
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона. Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
124,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона. Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
125,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона. Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
126,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона. Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
128,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Премьер-министр Великобритании Тереза Мей приняла отставку министра иностранных дел Бориса Джонсона. Это связано с несогласием относительно планов отношения Великобритании и ЕС после официального выхода страны из Евросоюза. Ранее по этой же причине в отставку ушел британский министр по делам «Брекзит» Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
129,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **EVT** из приведенного текста.
    События, исторические моменты. Примеры: 'Brexit', 'брекзит'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа EVT
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
130,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PRO** из приведенного текста.
    Продукты, бренды, названия изданий. Примеры: 'Facebook', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PRO
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
131,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
134,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
136,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
137,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
138,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
139,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PRO** из приведенного текста.
    Продукты, бренды, названия изданий. Примеры: 'Facebook', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PRO
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
140,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
141,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
142,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Таким образом, Джонсон стал третьим министром, который покинул свой пост в течении суток. Раннее о своем уходе объявили министр по вопросам выхода Великобритании из ЕС Дэвид Дэвис и заместитель министра по Brexit Стив Бейкер. Напомним, ранее премьер-министр Великобритании Тереза Мэй пообещала отправить в отставку главу МИД Соединенного Королевства Бориса Джонсона, если он попытается ослабить согласованную ее кабинетом коллективную позицию относительно будущих переговоров с ЕС. Об этом сообщает The Guardian, передает УНН. ""Сегодня днем премьер-министр принял отставку Бориса Джонсона с поста качестве министра иностранных дел. Его замена будет объявлена в ближайшее время. Премьер-министр благодарит Бориса за его работу"", - сообщил пресс-секретарь британского парламента.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
143,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
144,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
145,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
147,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
148,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
149,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Об этом сообщает агентство Рейтер. Сегодня премьер Тереза Мэй приняла отставку. О преемнике будет объявлено позже. Мэй поблагодарила Джонсона за работу, — говорится в официальном заявлении Даунинг-Стрит. Борис Джонсон стал вторым министром, покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании из Евросоюза. Первым это сделал министр по вопросам брекзита Дэвид Дэвис.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
